Branch;ID;ParentID;Round;Card;Opponent;Select;Conf;PM;P0;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26
0;200651;200041;3;14;1;0;0.00119;0;0;0.0336134;0.0336134;0.0756303;0.092437;0.0336134;0.0672269;0.0588235;0.0336134;0.00840336;0.0168067;0.00840336;0;0.0252101;0.0420168;0.0252101;0.0504202;0.0504202;0.0672269;0.092437;0.0420168;0.0588235;0.0252101;0.0336134;0;0;0.0168067
0;200715;200041;3;24;1;0;0.00123;0;0.0325203;0.0569106;0.0487805;0.0325203;0.0650406;0.0569106;0.0487805;0.0406504;0.0243902;0.00813008;0;0;0;0.0243902;0;0.00813008;0.0243902;0.0243902;0.113821;0.097561;0.105691;0.0813008;0.0406504;0.0243902;0;0.00813008;0.0243902
0;200757;200041;3;21;1;0;0.00119;0;0.00840336;0.0756303;0.0336134;0.092437;0.0672269;0.10084;0.00840336;0.0252101;0.0420168;0.00840336;0;0;0;0.00840336;0.00840336;0.0168067;0.0672269;0.0504202;0.0252101;0.0840336;0.092437;0.0756303;0.0336134;0.00840336;0.0252101;0;0.0336134
0;200819;200041;3;27;1;0;0.00146;0;0.0136986;0;0.00684932;0.0273973;0.0342466;0.0205479;0.0205479;0.00684932;0;0.0136986;0;0.00684932;0;0.0205479;0.0616438;0.0205479;0.0958904;0.0753425;0.150685;0.136986;0.143836;0.0616438;0.0479452;0.0136986;0.00684932;0;0.00684932
0;200863;200041;3;3;1;0;0.00121;0;0.0330578;0.0495868;0.0413223;0.0826446;0.0661157;0.0330578;0.0247934;0.0661157;0.0165289;0.00826446;0;0.00826446;0;0.0165289;0.0247934;0.0413223;0.0247934;0.0578512;0.0743802;0.0743802;0.115702;0.0413223;0.0495868;0.0165289;0;0;0.0247934
0;200927;200041;3;38;1;0;0.00093;0;0.0537634;0.0752688;0.0645161;0.150538;0.129032;0.129032;0.11828;0.0860215;0.0537634;0.0430108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0860215
0;200977;200041;3;28;1;0;0.00146;0;0.0136986;0.0136986;0.0273973;0.0342466;0.00684932;0.0273973;0.00684932;0;0;0;0;0;0;0.0205479;0.10274;0.0342466;0.0890411;0.116438;0.123288;0.0890411;0.116438;0.0821918;0.0547945;0.0136986;0.0136986;0.00684932;0
0;201012;200041;3;23;1;0;0.0012;0;0.00833333;0.075;0.108333;0.0333333;0.0583333;0.05;0.0416667;0.0166667;0.0416667;0;0;0;0;0;0.0333333;0.025;0.025;0.0583333;0.1;0.075;0.05;0.1;0.05;0.00833333;0.0166667;0;0.0166667
0;201081;200041;3;17;1;0;0.00117;0;0.025641;0.0683761;0.0683761;0.0854701;0.0598291;0.017094;0.0598291;0.0512821;0.017094;0.00854701;0.00854701;0;0;0.034188;0.034188;0.034188;0.034188;0.0598291;0.0854701;0.0598291;0.0598291;0.034188;0.017094;0.025641;0.017094;0;0.025641
0;201141;200041;3;37;1;0;0.00091;0;0.0769231;0.120879;0.0879121;0.120879;0.0879121;0.10989;0.10989;0.0879121;0.032967;0.043956;0.010989;0.010989;0.021978;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0659341
0;202173;200544;3;24;1;0;6e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166667;0.166667;0;0.166667;0.166667;0.166667;0;0;0;0;0
0;202854;200544;3;3;1;0;6e-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333;0;0.166667;0;0.166667;0.166667;0;0;0;0;0;0;0
