Branch;ID;ParentID;Time;Move;Opponent;Select;Visit;Win
0;12041488;12022080;14;49;1;0;0.00753;0.447322
0;140737225516912;12022080;14;3;1;0;0.00878;0.441643
0;140737225532160;140736957377440;15;37;1;0;0.00012;0.505858
0;140736957390000;140736957377440;15;45;1;0;0.00015;0.322928
0;140737225562384;140736957377440;15;49;1;0;0.00014;0.329117
0;140737091314976;140736957377440;15;36;1;0;0.00011;0.505051
0;140736957411616;140736957377440;15;47;1;0;0.00011;0.533687
0;140737225593696;140736957377440;15;50;1;0;9e-05;0.597108
0;12098224;140736957377440;15;6;1;0;0.00011;0.471243
0;140737091370752;140736957377440;15;3;1;0;0.00011;0.510689
0;12142288;140736957377440;15;38;1;1;0.00012;0.477779
0;140737225642800;140736957377440;15;18;1;0;0.00011;0.461441
0;12170032;140736957377440;15;31;1;0;0.00012;0.537553
0;140736957507168;140736957377440;15;26;1;0;0.00011;0.669891
0;140737225683952;140736957377440;15;4;1;0;0.00012;0.505817
0;140737091334944;140736957377440;15;35;1;0;0.00014;0.467629
0;140737225699344;140736957377440;15;8;1;0;0.0001;0.593542
0;140737225722208;140736957377440;15;32;1;0;0.00012;0.411885
0;12242848;140736957377440;15;51;1;0;0.00012;0.460772
0;140737091371760;140736957377440;15;1;1;0;0.00013;0.507329
0;140736957586416;140736957377440;15;9;1;0;0.0001;0.508257
0;140737225734624;140736957377440;15;22;1;0;0.00012;0.496655
0;140737091506896;140736957377440;15;41;1;0;0.0001;0.583335
0;140737225746832;140736957377440;15;13;1;0;9e-05;0.573906
0;140737091510928;140736957377440;15;7;1;0;0.0001;0.535046
0;140736957619536;140736957377440;15;44;1;0;8e-05;0.677613
0;140737091532592;140736957377440;15;46;1;0;0.00013;0.587766
0;140736957503712;140736957377440;15;16;1;0;0.00013;0.458837
0;140736957714976;140736957377440;15;14;1;0;0.00011;0.680322
0;140737225804656;140736957377440;15;40;1;0;0.0001;0.629066
0;140737226009312;12142288;16;31;1;0;2e-05;0.100353
0;140736957952896;12142288;16;14;1;0;2e-05;0.342386
0;140737091754432;12142288;16;49;1;0;2e-05;0.255172
0;140736959112624;12142288;16;36;1;0;2e-05;0.366284
0;13581520;12142288;16;16;1;0;2e-05;0.391084
0;140736959611472;12142288;16;8;1;0;2e-05;0.319356
0;140737228030960;12142288;16;35;1;0;2e-05;0.162844
0;140736960029424;12142288;16;46;1;0;2e-05;0.391084
0;14655120;12142288;16;45;1;0;2e-05;0.319356
0;140737093824928;12142288;16;3;1;0;2e-05;0.146343
0;11234688;12142288;16;13;1;1;1e-05;0
0;11234832;11234688;17;18;1;1;1.00001;0.410929
0;140737095633680;11234832;18;17;0;1;0.73763;0.419748
0;140737230063104;11234832;18;21;0;0;0.0854;0.385476
0;11234976;11234832;18;19;0;0;0.08711;0.385976
0;140736961698400;11234832;18;24;0;0;0.0899;0.386787
0;140737230063248;140737095633680;19;9;1;0;0.01084;0.547429
0;140737095634112;140737095633680;19;44;1;0;0.00756;0.575235
0;140737230063536;140737095633680;19;7;1;0;0.01087;0.54738
0;140736961698832;140737095633680;19;36;1;1;0.00207;0.729206
0;16397328;140737095633680;19;41;1;0;0.00547;0.604701
0;140736961699264;140737095633680;19;46;1;0;0.00692;0.583242
0;140737230064112;140737095633680;19;49;1;0;0.00634;0.590437
0;140737095634688;140737095633680;19;16;1;0;0.01214;0.539974
0;140737230064688;140737095633680;19;8;1;0;0.01343;0.533287
0;140736961699696;140737095633680;19;6;1;0;0.00866;0.564242
0;140737095635120;140737095633680;19;14;1;0;0.01158;0.543356
0;140737095635840;140737095633680;19;3;1;0;0.00871;0.563432
0;140737230065696;140737095633680;19;37;1;0;0.00778;0.572516
0;140736961700704;140737095633680;19;47;1;0;0.00712;0.579879
0;140737095635984;140737095633680;19;32;1;0;0.00897;0.561331
0;140737230065120;140737095633680;19;26;1;0;0.00828;0.567394
0;140737095636704;140737095633680;19;1;1;0;0.01092;0.547073
0;140736961701696;140737095633680;19;4;1;0;0.01189;0.541506
0;140737095638400;140737095633680;19;35;1;0;0.00897;0.561226
0;140737230067408;140737095633680;19;50;1;0;0.00939;0.558337
0;140736961702704;140737095633680;19;45;1;0;0.00618;0.592466
0;140737095638544;140737095633680;19;51;1;0;0.00948;0.557379
0;140737230067552;140737095633680;19;31;1;0;0.00763;0.574081
0;140736961702848;140737095633680;19;22;1;0;0.53118;0.36398
0;140737095639408;140737095633680;19;40;1;0;0.00548;0.604066
0;140736961708464;140736961698832;20;8;1;0;9e-05;0.678399
0;140737230073456;140736961698832;20;40;1;0;0.00011;0.714434
0;140737095641136;140736961698832;20;51;1;0;0.0001;0.515813
0;16403808;140736961698832;20;22;1;0;8e-05;0.72469
0;16415552;140736961698832;20;44;1;0;9e-05;0.661273
0;140737230086928;140736961698832;20;3;1;0;0.0001;0.685581
0;140737230098832;140736961698832;20;16;1;0;0.00011;0.708614
0;140736961742560;140736961698832;20;6;1;0;9e-05;0.668937
0;140737095667024;140736961698832;20;41;1;0;0.0001;0.630062
0;16424080;140736961698832;20;14;1;1;1.0001;0.748326
